epoch,supply,mint,burn,net_change,inflation_rate,F_t,L_t,tau_t,gamma_t,TV_t,staking_apy,time_violence
15,7018.8143535406425,270.43451920091417,4293.765539759788,-4023.331020558874,-57.32208914357885,0.01720517460989371,1.4234741362820957,0.7117370681410479,0.03604623773081085,0.3888524733455561,7.1173706814104785,0.3888524733455561
16,5514.530289664288,175.48508794451809,1679.769151820873,-1504.284063876355,-27.278552929445098,0.01786685624155172,1.3993563377720974,0.6996781688860487,0.021479547716923057,0.23932377567067478,6.996781688860487,0.23932377567067478
17,3840.521244673875,144.73169418037716,1818.7407391707902,-1674.009044990413,-43.588068867265555,0.0185269430693415,1.4166134221338733,0.7083067110669367,0.030366921924150997,0.3298088220821997,7.083067110669367,0.3298088220821997
18,2249.959721361808,107.48682919126134,1698.0483525033283,-1590.561523312067,-70.69288877533174,0.019285430531871116,1.4512283077185548,0.7256141538592774,0.04371059539639559,0.4421400753499858,7.256141538592775,0.4421400753499858
19,1047.3729680448816,61.164018711858176,1263.7507720287847,-1202.5867533169264,-114.81934229807176,0.019892379278991026,1.3665783555368,0.6832891777684,0.048558560900508266,0.5616770647182467,6.832891777684001,0.5616770647182467
20,793.0761516310004,30.11663419075184,284.41345060463306,-254.29681641388123,-32.06461521896822,0.02068064000957866,1.390404286887155,0.6952021434435774,0.02482701566444851,0.2715493518374302,6.952021434435775,0.2715493518374302
21,684.3379585241319,25.059789070682456,133.79798217755092,-108.73819310686847,-15.88954576498682,0.02150009071392226,1.469678119139175,0.7348390595695875,0.01816161191526719,0.16870761011081817,7.348390595695875,0.16870761011081817
22,594.7320840803494,23.3994227553935,113.00529719917593,-89.60587444378243,-15.066595000056616,0.022399863980266024,1.526473020470853,0.7632365102354265,0.020632961820337317,0.1651308330797363,7.632365102354265,0.1651308330797363
23,488.5409378351487,21.467757648948076,127.65890389414876,-106.19114624520068,-21.736386456324645,0.023279996931822707,1.550537938685405,0.7752689693427025,0.02925611554363248,0.21464943175472237,7.752689693427025,0.21464943175472237
24,463.83532248748793,18.44787219143042,43.15348753909121,-24.70561534766079,-5.326376442218289,0.02428287978881832,1.5550527637394298,0.7775263818697149,0.012695354507948045,0.08833136426665793,7.775263818697151,0.08833136426665793
25,452.536239363483,18.53571206578715,29.83479518979206,-11.299083124004913,-2.496834980530552,0.025364977196146582,1.5754730547747344,0.7877365273873672,0.010079947723401768,0.06432195596875195,7.877365273873672,0.06432195596875195
26,465.9559971330538,18.93850323268452,5.518745463113692,13.419757769570829,2.880048299011122,0.026453998090718606,1.5819799358298994,0.7909899679149497,0.002049180258845403,0.012195145897875737,7.909899679149497,0.012195145897875737
27,478.2634921008401,21.63487083368589,9.327375865899596,12.307494967786296,2.573371200407516,0.0276761187448515,1.6776610266804464,0.8388305133402232,0.004590040361279252,0.020017718246549708,8.388305133402232,0.020017718246549708
28,489.437918245764,22.46929944442134,11.29487329949742,11.174426144923919,2.283114104639691,0.028979510045378232,1.6211800952315765,0.8105900476157882,0.004865897570659158,0.02361642376231372,8.105900476157881,0.02361642376231372
29,495.23367476470764,24.111591705090706,18.315835186147098,5.795756518943609,1.1703074355146088,0.03015435483379354,1.6337222636881992,0.8168611318440996,0.008394781236929367,0.037422182678028784,8.168611318440997,0.037422182678028784
30,497.2844631163916,28.008181606077134,25.957393254393175,2.050788351683959,0.41239743120708827,0.03327303390501859,1.6997394064640647,0.8498697032320324,0.016074633440104173,0.05241443499722811,8.498697032320326,0.05241443499722811
